Site_Location,Size,Bath,Balcony,New_Total_Sqft,Price,area_type
Kasba Peth,2 BHK,2,2,940,55,Super built-up  Area
Katraj,5 Bedroom,5,1,800,104.5,Plot  Area
Khadaki,3 BHK,2,2,1460,88,Super built-up  Area
Khadki,3 BHK,4,2,2275,192.5,Super built-up  Area
Kharadi,3 BHK,3,2,1522,99,Super built-up  Area
Kondhwa,3 Bedroom,4,2,3210,418,Plot  Area
Kondhwa Budruk,2 BHK,2,2,1185,46.937,Super built-up  Area
Kondhwa Khurd,13 BHK,13,0,5425,302.5,Super built-up  Area
Koregaon Park,3 BHK,3,2,1800,137.5,Built-up  Area
Kothrud,2 BHK,2,1,940,48.4,Super built-up  Area
Law College Road,4 Bedroom,4,2,1200,148.5,Plot  Area
Laxmi Road,3 BHK,3,2,1530,78.1,Super built-up  Area
Lulla Nagar,2 BHK,2,1,1050,52.8,Built-up  Area
Mahatma Gandhi Road,2 BHK,2,2,929,53.9,Super built-up  Area
Mangalwar peth,4 Bedroom,5,3,3750,159.5,Built-up  Area
Manik Bagh,3 BHK,3,3,1530,82.5,Super built-up  Area
Market yard,2 Bedroom,2,1,900,52.8,Plot  Area
Model colony,2 BHK,2,1,978,37.642,Super built-up  Area
Mukund Nagar,4 BHK,4,2,4041,379.5,Built-up  Area
Mundhawa,1 BHK,1,2,770,48.202,Super built-up  Area
Nagar Road,2 BHK,2,3,1066,60.5,Built-up  Area
Nana Peth,1 BHK,1,0,635,30.8,Super built-up  Area
Narayan Peth,2 BHK,2,1,1015,49.5,Super built-up  Area
Narayangaon,2 BHK,2,0,1175,59.455,Built-up  Area
Navi Peth,4 Bedroom,4,2,1200,143,Plot  Area
Padmavati,2 BHK,2,1,1188,55,Super built-up  Area
Parvati Darshan,5 Bedroom,5,2,2400,770,Plot  Area
Pashan,1 BHK,1,1,620,27.5,Super built-up  Area
Paud Road,2 BHK,2,0,1210,82.5,Built-up  Area
Pirangut,3 Bedroom,3,1,1000,99,Plot  Area
Prabhat Road,3 BHK,2,2,1500,108.9,Super built-up  Area
Pune Railway Station,4 Bedroom,3,2,1800,209,Plot  Area
Rasta Peth,2 BHK,2,2,1185,48.026,Super built-up  Area
Raviwar Peth,3 BHK,3,3,1600,143,Built-up  Area
Sadashiv Peth,2 BHK,2,1,1100,30.8,Super built-up  Area
Sahakar Nagar,2 BHK,2,2,1300,76.153,Super built-up  Area
Salunke Vihar,2 BHK,2,1,1100,74.8,Super built-up  Area
Sasson Road,2 BHK,2,1,860,31.823,Super built-up  Area
Satara Road,2 BHK,2,1,1007,70.4,Super built-up  Area
Senapati Bapat Road,2 BHK,2,2,1100,52.8,Super built-up  Area
Shaniwar Peth,2 BHK,2,1,1187,41.8,Super built-up  Area
Shivaji Nagar,2 BHK,2,2,1150,79.2,Super built-up  Area
Shukrawar Peth,3 BHK,3,2,2400,277.2,Super built-up  Area
Sinhagad Road,2 BHK,2,3,1180,46.134,Super built-up  Area
Somwar Peth,3 BHK,3,2,1820,93.72,Super built-up  Area
Swargate,6 Bedroom,6,3,1200,198,Plot  Area
Tilak Road,3 Bedroom,6,2,2400,852.5,Plot  Area
Uruli Devachi,4 BHK,4,1,3628,270.6,Super built-up  Area
Vadgaon Budruk,3 BHK,3,2,1430,77,Built-up  Area
Wadgaon Sheri,2 BHK,2,1,700,44,Super built-up  Area
Viman Nagar,2 Bedroom,1,0,1200,77,Plot  Area
Vishrant Wadi,2 BHK,2,1,1165,44.847,Super built-up  Area
Wagholi,3 BHK,3,2,1569,129.8,Super built-up  Area
Wakadewadi,3 BHK,4,3,1950,104.5,Super built-up  Area
Wanowrie,2 Bedroom,3,1,1200,77,Plot  Area
Warje,3 BHK,3,2,2437,137.5,Super built-up  Area
Yerawada,2 BHK,2,2,950,51.37,Super built-up  Area
Alandi Road,3 BHK,3,3,1685,126.5,Built-up  Area
Ambegaon Budruk,4 BHK,4,3,3270,225.5,Super built-up  Area
Anandnagar,2 BHK,2,2,1314,121,Super built-up  Area
Aundh,3 BHK,3,2,1250,44,Super built-up  Area
Aundh Road,2 BHK,2,2,1130,74.8,Built-up  Area
Balaji Nagar,6 Bedroom,9,3,1200,134.2,Plot  Area
Baner,6 Bedroom,5,2,890,176,Plot  Area
Baner road,3 Bedroom,3,2,857,104.5,Plot  Area
Bhandarkar Road,3 BHK,3,2,2247,159.5,Super built-up  Area
Bhavani Peth,3 BHK,3,2,1550,93.5,Super built-up  Area
Bibvewadi,3 BHK,2,2,1715,110,Super built-up  Area
Bopodi,2 BHK,2,1,1053,58.3,Super built-up  Area
Budhwar Peth,3 Bedroom,3,0,1200,55,Plot  Area
Bund Garden Road,3 Bedroom,2,1,1800,253,Plot  Area
Camp,5 Bedroom,4,0,2400,106.7,Built-up  Area
Chandan Nagar,2 BHK,1,3,1245,66,Super built-up  Area
Dapodi,2 BHK,2,1,1320,176,Super built-up  Area
Deccan Gymkhana,4 Bedroom,5,3,3940,291.5,Plot  Area
Dehu Road,3 BHK,2,1,1241,71.5,Built-up  Area
Dhankawadi,3 BHK,4,2,2980,286,Built-up  Area
Dhayari Phata,6 Bedroom,5,3,600,143,Plot  Area
Dhole Patil Road,2 BHK,2,2,1090,62.7,Super built-up  Area
Erandwane,3 BHK,2,1,1390,55,Super built-up  Area
Fatima Nagar,8 Bedroom,4,3,600,192.5,Plot  Area
Fergusson College Road,3 BHK,5,2,2750,302.5,Super built-up  Area
Ganesh Peth,3 BHK,2,1,1100,58.267,Super built-up  Area
Ganeshkhind,2 BHK,2,2,1350,113.3,Built-up  Area
Ghorpade Peth,2 BHK,2,2,800,60.5,Built-up  Area
Ghorpadi,3 BHK,3,2,1787,127.6,Super built-up  Area
Gokhale Nagar,3 BHK,3,2,2400,242,Built-up  Area
Gultekdi,4 BHK,4,2,3700,357.5,Super built-up  Area
Guruwar peth,3 BHK,3,2,1691,102.311,Super built-up  Area
Hadapsar,4 BHK,4,3,2119,122.1,Super built-up  Area
Hadapsar Industrial Estate,3 Bedroom,3,2,2325,104.5,Plot  Area
Hingne Khurd,5 Bedroom,5,0,570,88,Plot  Area
Jangali Maharaj Road,3 BHK,3,2,1896,112.2,Super built-up  Area
Kalyani Nagar,3 BHK,3,2,1540,53.361,Super built-up  Area
Karve Nagar,2 BHK,2,2,1244,104.5,Super built-up  Area
Karve Road,3 BHK,2,2,1365,71.5,Super built-up  Area
Kasba Peth,1 BHK,1,1,580,30.25,Super built-up  Area
Katraj,3 BHK,3,2,1355,92.257,Super built-up  Area
Khadaki,3 Bedroom,4,2,1500,198,Plot  Area
Khadki,2 BHK,2,3,1513,68.2,Super built-up  Area
Kharadi,2 BHK,2,1,1175,45.243,Super built-up  Area
Kondhwa,3 BHK,4,2,2087,152.9,Super built-up  Area
Kondhwa Budruk,3 BHK,3,2,2273,159.5,Super built-up  Area
Kondhwa Khurd,3 BHK,3,2,2050,165,Super built-up  Area
Koregaon Park,2 Bedroom,2,1,1200,82.5,Built-up  Area
Kothrud,2 BHK,2,3,1190,64.9,Super built-up  Area
Law College Road,4 BHK,3,2,600,93.5,Super built-up  Area
Laxmi Road,2 BHK,2,2,1019,54.846,Super built-up  Area
Lulla Nagar,3 BHK,3,2,1830,146.3,Super built-up  Area
Mahatma Gandhi Road,7 Bedroom,7,1,4278,328.9,Plot  Area
Mangalwar peth,2 BHK,2,1,1028,61.6,Super built-up  Area
Manik Bagh,2 BHK,2,2,1300,110,Built-up  Area
Market yard,2 BHK,2,1,1160,73.7,Super built-up  Area
Model colony,3 BHK,3,2,1505,85.8,Super built-up  Area
Mukund Nagar,2 BHK,2,1,1250,61.105,Super built-up  Area
Mundhawa,1 Bedroom,2,1,400,55,Plot  Area
Nagar Road,2 BHK,2,1,1175,45.848,Super built-up  Area
Nana Peth,2 BHK,2,2,1100,63.36,Super built-up  Area
Narayan Peth,3 BHK,3,2,2159,132,Super built-up  Area
Narayangaon,2 BHK,2,1,1230,62.095,Super built-up  Area
Navi Peth,3 Bedroom,4,2,1200,198,Plot  Area
Padmavati,5 Bedroom,6,1,3100,181.5,Built-up  Area
Parvati Darshan,5 BHK,7,0,5020,315.7,Super built-up  Area
Pashan,1 Bedroom,1,0,1200,52.8,Built-up  Area
Paud Road,2 BHK,2,1,1340,78.1,Super built-up  Area
Pirangut,3 BHK,2,2,1750,97.9,Super built-up  Area
Prabhat Road,2 BHK,2,1,1400,110,Super built-up  Area
Pune Railway Station,3 BHK,3,0,1350,66,Built-up  Area
Rasta Peth,3 BHK,3,3,1675,68.2,Super built-up  Area
Raviwar Peth,2 BHK,2,1,1340,72.963,Super built-up  Area
Sadashiv Peth,2 Bedroom,1,0,600,74.8,Built-up  Area
Sahakar Nagar,2 BHK,2,2,1276,83.6,Super built-up  Area
Salunke Vihar,3 BHK,2,3,1738,83.6,Super built-up  Area
Sasson Road,2 BHK,2,2,1190,65.89,Super built-up  Area
Satara Road,2 BHK,2,1,1128,71.995,Super built-up  Area
Senapati Bapat Road,2 BHK,2,1,1250,60.5,Super built-up  Area
Shaniwar Peth,2 BHK,2,2,1450,99,Built-up  Area
Shivaji Nagar,2 BHK,2,1,1084,58.3,Super built-up  Area
Shukrawar Peth,4 BHK,4,2,2150,99,Built-up  Area
Sinhagad Road,4 Bedroom,4,0,6000,687.5,Built-up  Area
Somwar Peth,4 Bedroom,3,0,600,84.7,Plot  Area
Swargate,2 BHK,2,2,1250,71.5,Super built-up  Area
Tilak Road,3 Bedroom,4,1,2400,264,Plot  Area
Uruli Devachi,3 BHK,3,0,1304,71.5,Super built-up  Area
Vadgaon Budruk,3 BHK,3,2,1640,294.8,Super built-up  Area
Wadgaon Sheri,2 BHK,2,1,980,85.184,Built-up  Area
Viman Nagar,2 BHK,2,2,1275,54.45,Super built-up  Area
Vishrant Wadi,1 Bedroom,1,1,10030,165,Plot  Area
Wagholi,3 Bedroom,4,0,2500,154,Plot  Area
Wakadewadi,4 Bedroom,4,0,3600,247.5,Built-up  Area
Wanowrie,3 Bedroom,4,0,2400,104.5,Plot  Area
Warje,3 BHK,3,2,2300,308,Super built-up  Area
Yerawada,3 BHK,2,2,1450,77.198,Super built-up  Area
Alandi Road,2 BHK,2,1,890,44,Super built-up  Area
Ambegaon Budruk,2 BHK,2,3,1340,93.5,Super built-up  Area
Anandnagar,3 BHK,2,1,1100,82.5,Super built-up  Area
Aundh,2 BHK,2,1,750,44,Super built-up  Area
Aundh Road,4 Bedroom,4,2,700,137.5,Plot  Area
Balaji Nagar,2 BHK,2,2,1300,72.6,Super built-up  Area
Baner,2 BHK,2,1,1301,132,Super built-up  Area
Baner road,9 Bedroom,8,1,3200,143,Built-up  Area
Bhandarkar Road,3 Bedroom,2,2,1900,101.2,Plot  Area
Bhavani Peth,2 BHK,2,1,1299,115.5,Super built-up  Area
Bibvewadi,3 BHK,3,3,1250,44,Super built-up  Area
Bopodi,4 Bedroom,4,2,1600,330,Plot  Area
Budhwar Peth,2 BHK,2,1,925,60.5,Super built-up  Area
Bund Garden Road,3 Bedroom,3,3,3900,275,Plot  Area
Camp,2 BHK,2,1,1107,49.5,Super built-up  Area
Chandan Nagar,2 Bedroom,2,2,1400,176,Plot  Area
Dapodi,2 BHK,2,1,1300,73.7,Super built-up  Area
Deccan Gymkhana,2 BHK,2,1,570,68.2,Built-up  Area
Dehu Road,3 BHK,3,2,1715,104.5,Super built-up  Area
Dhankawadi,2 BHK,2,1,1200,60.5,Built-up  Area
Dhayari Phata,6 Bedroom,5,1,1200,308,Plot  Area
Dhole Patil Road,2 BHK,2,1,703,66,Super built-up  Area
Erandwane,2 BHK,2,2,921,32.417,Super built-up  Area
Fatima Nagar,2 BHK,2,2,1144,71.5,Super built-up  Area
Fergusson College Road,1 BHK,1,1,525,28.611,Super built-up  Area
Ganesh Peth,3 BHK,2,2,1400,61.6,Super built-up  Area
Ganeshkhind,1 BHK,1,1,661,36.3,Super built-up  Area
Ghorpade Peth,6 Bedroom,6,2,1200,176,Plot  Area
Ghorpadi,5 BHK,5,2,1200,77,Built-up  Area
Gokhale Nagar,3 BHK,3,1,1705,100.1,Super built-up  Area
Gultekdi,5 Bedroom,5,1,1035,187,Plot  Area
Guruwar peth,3 BHK,2,0,1430,60.5,Super built-up  Area
Hadapsar,2 BHK,2,2,1240,60.5,Super built-up  Area
Hadapsar Industrial Estate,3 BHK,2,2,1325,66.88,Super built-up  Area
Hingne Khurd,2 BHK,2,2,1230,48.4,Super built-up  Area
Jangali Maharaj Road,2 BHK,2,3,1000,30.8,Super built-up  Area
Kalyani Nagar,4 Bedroom,2,1,740,26.95,Plot  Area
Karve Nagar,3 BHK,2,2,1330,51.095,Super built-up  Area
Karve Road,4 BHK,5,2,3005,302.5,Super built-up  Area
Kasba Peth,3 BHK,3,2,1300,187,Super built-up  Area
Katraj,2 BHK,2,2,1243,50.6,Super built-up  Area
Khadaki,4 Bedroom,2,1,936,66.924,Built-up  Area
Khadki,3 BHK,2,2,1500,110,Super built-up  Area
Kharadi,3 Bedroom,4,1,1200,171.6,Plot  Area
Kondhwa,2 BHK,2,2,1073,79.2,Built-up  Area
Kondhwa Budruk,2 BHK,2,2,1300,61.6,Built-up  Area
Kondhwa Khurd,4 Bedroom,4,3,4201,478.5,Plot  Area
Koregaon Park,2 BHK,2,1,1065,33.825,Built-up  Area
Kothrud,2 BHK,2,1,1216,73.568,Super built-up  Area
Law College Road,3 BHK,3,2,1252,64.9,Built-up  Area
Laxmi Road,2 BHK,2,1,1196,49.28,Super built-up  Area
Lulla Nagar,2 BHK,2,2,1027,48.4,Built-up  Area
Mahatma Gandhi Road,3 Bedroom,2,1,610,82.5,Plot  Area
Mangalwar peth,3 BHK,2,2,1270,62.865,Super built-up  Area
Manik Bagh,2 BHK,2,2,1171,42.9,Super built-up  Area
Market yard,3 BHK,2,3,1215,53.46,Super built-up  Area
Model colony,1 Bedroom,1,0,600,22,Plot  Area
Mukund Nagar,2 BHK,2,1,1180,84.7,Super built-up  Area
Mundhawa,2 BHK,2,1,1160,36.861,Built-up  Area
Nagar Road,4 Bedroom,4,3,4382,440,Plot  Area
Nana Peth,3 BHK,3,2,2140,152.9,Super built-up  Area
Narayan Peth,3 BHK,3,1,1500,110,Super built-up  Area
Narayangaon,2 BHK,2,2,1008,57.2,Super built-up  Area
Navi Peth,3 BHK,4,3,1921,141.9,Super built-up  Area
Padmavati,2 BHK,2,2,1127,35.2,Super built-up  Area
Parvati Darshan,3 BHK,3,1,1621,136.4,Super built-up  Area
Pashan,3 Bedroom,3,0,2400,396,Plot  Area
Paud Road,3 BHK,2,2,1030,84.975,Super built-up  Area
Pirangut,2 BHK,2,1,1314,92.4,Super built-up  Area
Prabhat Road,3 BHK,3,1,1220,61.6,Super built-up  Area
Pune Railway Station,4 Bedroom,3,1,600,106.7,Plot  Area
Rasta Peth,3 BHK,2,3,1590,93.5,Built-up  Area
Raviwar Peth,2 BHK,2,1,703,54.45,Super built-up  Area
Sadashiv Peth,3 BHK,3,2,1795,71.082,Super built-up  Area
Sahakar Nagar,4 Bedroom,3,0,3000,145.2,Built-up  Area
Salunke Vihar,4 BHK,4,2,4395,266.2,Super built-up  Area
Sasson Road,2 BHK,2,1,825,38.5,Super built-up  Area
Satara Road,4 BHK,6,1,4025,385,Super built-up  Area
Senapati Bapat Road,3 BHK,2,1,1254,77,Super built-up  Area
Shaniwar Peth,3 BHK,3,2,2040,125.4,Built-up  Area
Shivaji Nagar,3 BHK,4,2,2215,169.4,Super built-up  Area
Shukrawar Peth,2 BHK,2,2,1478,137.5,Super built-up  Area
Sinhagad Road,3 BHK,4,3,2475,370.7,Super built-up  Area
Somwar Peth,3 BHK,3,2,1669,327.8,Super built-up  Area
Swargate,3 BHK,3,2,1820,87.45,Super built-up  Area
Tilak Road,3 BHK,3,1,1623,97.9,Super built-up  Area
Uruli Devachi,2 BHK,2,2,1243,50.6,Super built-up  Area
Vadgaon Budruk,2 BHK,2,2,1200,44.55,Super built-up  Area
Wadgaon Sheri,3 BHK,3,3,1613,79.2,Super built-up  Area
Viman Nagar,2 BHK,2,2,1293,88,Super built-up  Area
Vishrant Wadi,2 BHK,2,2,1065,31.35,Super built-up  Area
Wagholi,2 BHK,2,1,940,76.527,Super built-up  Area
Wakadewadi,3 BHK,2,1,1181,71.5,Super built-up  Area
Wanowrie,3 BHK,3,2,2215,302.5,Super built-up  Area
Warje,1 BHK,2,2,1100,82.5,Built-up  Area
Yerawada,2 BHK,2,1,1050,39.6,Super built-up  Area
Alandi Road,3 BHK,2,1,1260,82.5,Super built-up  Area
Ambegaon Budruk,5 BHK,3,2,2800,467.5,Super built-up  Area
Anandnagar,3 BHK,3,2,1500,61.6,Super built-up  Area
Aundh,6 Bedroom,6,3,1200,145.2,Plot  Area
Aundh Road,2 Bedroom,2,0,1000,72.6,Plot  Area
Balaji Nagar,3 BHK,3,3,1530,80.3,Super built-up  Area
Baner,2 BHK,2,2,1140,50.6,Super built-up  Area
Baner road,3 BHK,3,3,1864,126.5,Super built-up  Area
Bhandarkar Road,3 BHK,3,3,1575,60.5,Built-up  Area
Bhavani Peth,3 Bedroom,3,2,1200,115.5,Plot  Area
Bibvewadi,2 BHK,2,1,945,49.5,Super built-up  Area
Bopodi,3 BHK,3,2,1691,110,Super built-up  Area
Budhwar Peth,2 Bedroom,2,3,1200,148.5,Plot  Area
Bund Garden Road,3 BHK,3,1,1220,38.775,Built-up  Area
Camp,1 BHK,1,1,600,38.5,Built-up  Area
Chandan Nagar,2 BHK,2,2,1160,42.9,Super built-up  Area
Dapodi,3 BHK,2,2,1950,98.45,Super built-up  Area
Deccan Gymkhana,3 BHK,3,1,1650,93.5,Super built-up  Area
Dehu Road,4 Bedroom,4,1,2400,165,Built-up  Area
Dhankawadi,2 BHK,1,1,795,35.86,Super built-up  Area
Dhayari Phata,5 Bedroom,5,1,800,104.5,Plot  Area
Dhole Patil Road,5 Bedroom,5,1,1400,106.7,Plot  Area
Erandwane,3 BHK,4,1,2285,181.5,Super built-up  Area
Fatima Nagar,2 BHK,2,2,1243,50.6,Super built-up  Area
Fergusson College Road,2 BHK,2,1,1263,56.65,Super built-up  Area
Ganesh Peth,5 BHK,4,2,1200,126.5,Super built-up  Area
Ganeshkhind,3 BHK,2,1,1345,75.9,Super built-up  Area
Ghorpade Peth,5 Bedroom,5,3,4400,264,Built-up  Area
Ghorpadi,3 BHK,2,1,1360,63.8,Super built-up  Area
Gokhale Nagar,2 BHK,2,1,1026,66.605,Super built-up  Area
Gultekdi,2 BHK,2,2,1050,41.8,Super built-up  Area
Guruwar peth,3 BHK,3,3,1460,83.6,Super built-up  Area
Hadapsar,3 BHK,2,2,1525,100.628,Super built-up  Area
Hadapsar Industrial Estate,3 BHK,3,2,1843,93.5,Built-up  Area
Hingne Khurd,2 BHK,2,3,1000,27.5,Super built-up  Area
Jangali Maharaj Road,3 BHK,2,1,1642,126.5,Super built-up  Area
Kalyani Nagar,3 Bedroom,2,0,1200,72.6,Plot  Area
Karve Nagar,2 BHK,2,1,975,66,Super built-up  Area
Karve Road,3 BHK,2,1,1075,48.4,Super built-up  Area
Kasba Peth,2 BHK,2,1,1210,85.723,Super built-up  Area
Katraj,3 BHK,3,2,2000,110,Super built-up  Area
Khadaki,2 BHK,2,0,1225,74.8,Super built-up  Area
Khadki,2 BHK,2,1,1290,88.044,Super built-up  Area
Kharadi,2 BHK,2,0,1220,61.6,Built-up  Area
Kondhwa,1 Bedroom,2,0,1500,93.5,Plot  Area
Kondhwa Budruk,2 BHK,2,2,1361,86.9,Super built-up  Area
Kondhwa Khurd,5 Bedroom,4,1,2801.25,508.2,Plot  Area
Koregaon Park,2 BHK,2,2,1394,93.5,Built-up  Area
Kothrud,2 BHK,2,1,870,29.7,Super built-up  Area
Law College Road,4 Bedroom,5,3,5000,330,Plot  Area
Laxmi Road,2 BHK,2,2,1222,107.8,Super built-up  Area
Lulla Nagar,2 BHK,2,1,1420,109.329,Super built-up  Area
Mahatma Gandhi Road,3 BHK,3,2,1846,148.5,Super built-up  Area
Mangalwar peth,2 Bedroom,2,1,1688.12,297,Plot  Area
Manik Bagh,2 BHK,2,2,1167,70.488,Super built-up  Area
Market yard,2 BHK,2,2,902,27.5,Super built-up  Area
Model colony,4 BHK,4,3,2422,148.5,Super built-up  Area
Mukund Nagar,2 BHK,2,2,1050,57.75,Super built-up  Area
Mundhawa,2 BHK,2,0,1000,55,Built-up  Area
Nagar Road,2 BHK,2,0,1260,63.8,Built-up  Area
Nana Peth,3 Bedroom,3,2,3000,495,Built-up  Area
Narayan Peth,2 BHK,2,2,939,42.9,Super built-up  Area
Narayangaon,9 Bedroom,6,1,1590,165,Plot  Area
Navi Peth,1 Bedroom,1,0,600,40.7,Plot  Area
Padmavati,2 BHK,2,1,1298,64.9,Built-up  Area
Parvati Darshan,3 BHK,3,2,1710,148.5,Super built-up  Area
Pashan,2 BHK,2,1,1000,49.5,Super built-up  Area
Paud Road,3 BHK,3,3,3350,165,Super built-up  Area
Pirangut,2 Bedroom,4,1,1200,151.8,Plot  Area
Prabhat Road,2 BHK,2,2,1100,74.8,Built-up  Area
Pune Railway Station,1 BHK,1,1,615,50.6,Super built-up  Area
Rasta Peth,2 BHK,2,1,1350,93.5,Super built-up  Area
Raviwar Peth,4 Bedroom,5,2,5000,357.5,Built-up  Area
Sadashiv Peth,3 BHK,3,1,2700,551.1,Super built-up  Area
Sahakar Nagar,6 Bedroom,6,2,4000,506,Plot  Area
Salunke Vihar,3 BHK,3,2,1718,143,Super built-up  Area
Sasson Road,3 BHK,3,2,1680,123.2,Super built-up  Area
Satara Road,2 Bedroom,2,0,1500,99,Plot  Area
Senapati Bapat Road,3 BHK,2,1,1157,79.2,Super built-up  Area
Shaniwar Peth,2 BHK,2,1,1179,56.1,Super built-up  Area
Shivaji Nagar,2 BHK,2,0,1315,66.528,Super built-up  Area
Shukrawar Peth,2 BHK,2,2,1105,30.998,Super built-up  Area
Sinhagad Road,3 BHK,3,2,1800,192.5,Super built-up  Area
Somwar Peth,2 BHK,2,1,1010,57.2,Super built-up  Area
Swargate,1 BHK,1,1,630,50.6,Super built-up  Area
Tilak Road,2 Bedroom,2,1,1200,39.71,Plot  Area
Uruli Devachi,2 BHK,2,1,1025,66,Super built-up  Area
Vadgaon Budruk,2 BHK,2,2,1195,64.9,Super built-up  Area
Wadgaon Sheri,2 BHK,2,1,1012,63.8,Super built-up  Area
Viman Nagar,3 BHK,4,2,1884,129.8,Super built-up  Area
Vishrant Wadi,2 BHK,2,1,1090,40.7,Super built-up  Area
Wagholi,3 BHK,3,2,1300,85.789,Super built-up  Area
Wakadewadi,4 BHK,4,2,2950,275,Super built-up  Area
Wanowrie,3 BHK,3,3,1710,93.5,Super built-up  Area
Warje,3 BHK,3,1,1500,74.8,Super built-up  Area
Yerawada,3 BHK,2,2,1310,58.3,Super built-up  Area
Alandi Road,2 BHK,1,1,674,21.89,Super built-up  Area
Ambegaon Budruk,3 BHK,3,2,1350,77,Built-up  Area
Anandnagar,3 BHK,2,2,1464,126.5,Built-up  Area
Aundh,3 BHK,2,1,715,31.9,Built-up  Area
Aundh Road,3 BHK,2,1,1400,44.495,Built-up  Area
Balaji Nagar,3 BHK,2,2,1625,53.625,Super built-up  Area
Baner,2 BHK,2,1,1065,33.836,Built-up  Area
Baner road,6 Bedroom,4,1,510,77,Plot  Area
Bhandarkar Road,3 BHK,3,3,1385,99,Super built-up  Area
Bhavani Peth,2 BHK,2,1,1040,55,Super built-up  Area
Bibvewadi,3 BHK,3,2,1817,121,Super built-up  Area
Bopodi,2 BHK,2,1,1205,51.7,Super built-up  Area
Budhwar Peth,2 BHK,2,2,1070,36.773,Super built-up  Area
Bund Garden Road,2 BHK,2,1,1070,57.2,Super built-up  Area
Camp,2 BHK,2,1,1340,82.5,Super built-up  Area
Chandan Nagar,2 BHK,2,2,980,38.5,Super built-up  Area
Dapodi,2 BHK,2,0,1006,48.4,Built-up  Area
Deccan Gymkhana,2 BHK,2,1,1098,78.1,Super built-up  Area
Dehu Road,2 BHK,2,1,1200,58.85,Built-up  Area
Dhankawadi,4 BHK,4,2,4190,357.5,Super built-up  Area
Dhayari Phata,2 BHK,2,1,1019,68.2,Super built-up  Area
Dhole Patil Road,2 BHK,2,2,1150,44.231,Super built-up  Area
Erandwane,3 Bedroom,3,1,1733.5,132,Plot  Area
Fatima Nagar,2 BHK,2,2,1415,132,Super built-up  Area
Fergusson College Road,3 BHK,3,2,1750,63.8,Built-up  Area
Ganesh Peth,3 BHK,3,2,1537,89.1,Super built-up  Area
Ganeshkhind,2 BHK,2,2,1050,49.5,Built-up  Area
Ghorpade Peth,3 BHK,3,3,1452,61.16,Super built-up  Area
Ghorpadi,2 BHK,2,1,1246,104.5,Super built-up  Area
Gokhale Nagar,3 BHK,4,2,1890,93.5,Built-up  Area
Gultekdi,2 BHK,2,1,972,44,Super built-up  Area
Guruwar peth,4 Bedroom,4,2,10624,2574,Plot  Area
Hadapsar,4 Bedroom,5,3,1500,176,Plot  Area
Hadapsar Industrial Estate,1 BHK,1,1,630,37.07,Super built-up  Area
Hingne Khurd,8 Bedroom,5,0,1050,88,Plot  Area
Jangali Maharaj Road,3 BHK,2,1,1255,66,Built-up  Area
Kalyani Nagar,4 Bedroom,4,2,1900,203.5,Plot  Area
Karve Nagar,3 Bedroom,3,1,2440,156.2,Plot  Area
Karve Road,3 BHK,3,3,1938,101.959,Super built-up  Area
Kasba Peth,3 BHK,3,2,1711,137.5,Super built-up  Area
Katraj,5 Bedroom,4,3,1200,264,Plot  Area
Khadaki,2 BHK,2,1,1392,104.5,Super built-up  Area
Khadki,2 BHK,2,1,1225,84.7,Super built-up  Area
Kharadi,4 BHK,3,2,3418,258.5,Super built-up  Area
Kondhwa,3 BHK,3,2,1750,132,Super built-up  Area
Kondhwa Budruk,3 BHK,2,1,1260,88,Super built-up  Area
Kondhwa Khurd,1 BHK,1,1,691,34.21,Super built-up  Area
Koregaon Park,4 Bedroom,3,2,2400,440,Plot  Area
Kothrud,2 BHK,2,1,1285,85.8,Super built-up  Area
Law College Road,3 BHK,3,2,1590,105.6,Built-up  Area
Laxmi Road,3 BHK,3,2,1571,71.5,Super built-up  Area
Lulla Nagar,5 Bedroom,5,1,2800,242,Built-up  Area
Mahatma Gandhi Road,2 BHK,2,1,1060,53.526,Super built-up  Area
Mangalwar peth,2 BHK,2,1,1255,63.8,Super built-up  Area
Manik Bagh,4 Bedroom,4,0,702,71.5,Plot  Area
Market yard,3 Bedroom,2,2,2400,203.5,Plot  Area
Model colony,3 BHK,2,3,1520,89.1,Super built-up  Area
Mukund Nagar,3 BHK,2,2,1530,78.089,Super built-up  Area
Mundhawa,2 BHK,2,1,1170,50.061,Super built-up  Area
Nagar Road,3 BHK,3,2,1580,82.5,Super built-up  Area
Nana Peth,3 BHK,3,2,1777.26,97.9,Super built-up  Area
Narayan Peth,2 BHK,2,2,1303,61.358,Super built-up  Area
Narayangaon,2 BHK,2,3,1680,64.9,Built-up  Area
Navi Peth,3 BHK,2,2,1495,77,Built-up  Area
Padmavati,3 BHK,3,1,1835,118.8,Super built-up  Area
Parvati Darshan,3 Bedroom,3,1,610,66,Plot  Area
Pashan,2 BHK,2,2,1080,41.8,Built-up  Area
Paud Road,2 BHK,2,1,1025,32.571,Built-up  Area
Pirangut,2 BHK,2,1,1225,74.228,Super built-up  Area
Prabhat Road,1 BHK,1,1,656,38.247,Super built-up  Area
Pune Railway Station,2 BHK,2,2,994,49.5,Super built-up  Area
Rasta Peth,2 BHK,2,1,1025,71.5,Super built-up  Area
Raviwar Peth,2 BHK,2,2,1156,57.2,Built-up  Area
Sadashiv Peth,2 BHK,2,2,1250,66,Super built-up  Area
Sahakar Nagar,4 Bedroom,4,3,3092,253,Built-up  Area
